id,category,subcategory,difficulty,statement,is_correct,explanation,source_type,source_title,source_url,source_checked_on,status,duplicate_group,review_notes,app_ready
P1-076,part1,飛行禁止空域,中級,航空法上の手続とは別に、小型無人機等飛行禁止法や地方公共団体の条例など、他の法令等を確認する必要がある。,true,国土交通省は、航空法令のほか関係法令や条例等も遵守するよう案内している。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,other_laws_001,新規作問。,yes
P1-077,part1,飛行禁止空域,中級,航空法に基づく許可を得ていれば、小型無人機等飛行禁止法の対象空港周辺地域でも追加手続なしで飛行できる。,false,対象空港周辺地域では、航空法とは別に空港管理者の同意や公安委員会への事前通報などが必要と案内されている。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,other_laws_002,新規作問。,yes
P1-078,part1,特定飛行・飛行方法,中級,飛行上の必要がないのに高調音を発したり急降下したりするなど、他人に迷惑を及ぼす方法で飛行させてはならない。,true,教則では、他人に迷惑を及ぼす方法での飛行禁止の例として高調音や急降下等を挙げている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,nuisance_flight_001,新規作問。,yes
P1-079,part1,特定飛行・飛行方法,中級,他人に迷惑を及ぼすような方法とは、騒音や急接近などを含まず、操縦者の主観だけで判断される。,false,教則では、人に向かって急接近させることなどが『他人に迷惑を及ぼすような方法』に含まれると示している。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,nuisance_flight_002,新規作問。,yes
P1-080,part1,特定飛行・飛行方法,上級,農薬等の空中散布に係る飛行は、所定の要件を満たす場合、飛行方法に係る承認が不要となることがある。,true,国土交通省は、通達で定める要件を満たす農薬等の空中散布などの飛行について承認不要となる場合があると案内している。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,aerial_spraying_001,新規作問。,yes
P1-081,part1,特定飛行・飛行方法,上級,農薬等の空中散布は、どのような場合でも必ず個別承認が必要であり、例外はない。,false,一定要件を満たす農薬等の空中散布などについて承認不要となる場合がある。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,aerial_spraying_002,新規作問。,yes
P1-082,part1,特定飛行・飛行方法,上級,事故や災害時に、国や地方公共団体、またはその依頼を受けた者が捜索又は救助のために無人航空機を飛行させる場合には、飛行禁止空域や承認が必要な方法の規制について特例がある。,true,国土交通省は、捜索又は救助のための飛行については特例が適用されると案内している。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,search_rescue_001,新規作問。,yes
P1-083,part1,特定飛行・飛行方法,上級,捜索又は救助の特例が適用される場合は、航空機や地上の安全確保を自主的に行う必要はない。,false,特例が適用される場合でも、必要な安全確保を自主的に行う必要がある。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,search_rescue_002,新規作問。,yes
P1-084,part1,許可・承認・申請実務,中級,通報した飛行計画に従って特定飛行を行う必要があり、国土交通大臣から日時や経路の変更指示を受けた場合には、やむを得ない場合を除き従わなければならない。,true,教則では、特定飛行は通報した飛行計画に従い、変更指示を受けた場合は原則従うことが必要とされている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,flight_plan_notify_002,新規作問。,yes
P1-085,part1,運航義務・飛行日誌・事故報告,中級,飛行日誌は紙でなければならず、電子データで管理することは認められない。,false,教則では、飛行日誌は紙でも電子データでもよいが、必要に応じ速やかに参照や提示できる必要があるとしている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,flight_log_002,新規作問。,yes
P1-086,part1,運航義務・飛行日誌・事故報告,中級,特定飛行に該当しない飛行であっても、飛行計画の通報や飛行日誌の記載を行うことが望ましい。,true,教則では、特定飛行に該当しない場合でも飛行計画通報や飛行日誌記載を行うことが望ましいとしている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,flight_log_003,新規作問。,yes
P1-087,part1,定義・適用範囲,初級,航空法上の無人航空機かどうかを判断する重量には、バッテリーの重量も含まれる。,true,機体重量の判断には、バッテリーを含む重量が用いられる。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,definition_weight_001,新規作問。,yes
P1-088,part1,定義・適用範囲,中級,100g未満の模型航空機であれば、航空法以外の法令や条例も一切気にする必要はない。,false,航空法上の無人航空機でなくても、他の法令や条例、施設管理者のルール等は別途確認が必要である。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,definition_weight_002,新規作問。,yes
P1-089,part1,定義・適用範囲,中級,屋内飛行が航空法の飛行規制対象外となるのは、外部へ飛び出すおそれがない構造の場所であることが前提である。,true,屋内飛行が適用外となるのは、外部へ飛び出すおそれがない構造の場所であることが前提である。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,indoor_scope_002,文面整理済み。否定の入れ子を解消。,yes
P1-090,part1,定義・適用範囲,初級,登録ポータルサイトでは、100g以上の機体であっても、屋外で飛行させるものを対象として登録制度が案内されている。,true,登録ポータルサイトでは、屋外を飛行させる100g以上の機体が登録対象として案内されている。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,definition_weight_003,文面整理済み。制度説明の表現を簡潔化。,yes
P1-091,part1,定義・適用範囲,中級,機体が100g以上かどうかは、操縦者が体感で判断すればよく、資料等で確認する必要はない。,false,登録制度の対象判断は重量基準に基づくため、体感ではなく機体情報や実測などで確認すべきである。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,definition_weight_004,新規作問。,yes
P1-092,part1,飛行禁止空域,中級,空港等の周辺空域では、場所によって飛行させることが可能な高さが異なるため、管理者等への確認が必要となる場合がある。,true,国土交通省は、空港等の周辺に該当する場合は場所ごとに飛行可能な高さが異なるため、管理者等へ問い合わせるよう案内している。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,airport_height_001,新規作問。,yes
P1-093,part1,飛行禁止空域,中級,人口集中地区の確認は国土交通省の地図だけで行う必要があり、統計局やe-Stat系の情報は参照してはならない。,false,DIDの確認方法として、統計局資料やjSTAT MAPなども案内されている。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,did_map_check_002,新規作問。,yes
P1-094,part1,飛行禁止空域,中級,緊急用務空域の公示は、国土交通省ホームページやX等で行われる。,true,国土交通省は、緊急用務空域の公示先としてホームページやXを案内している。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,emergency_notice_001,新規作問。,yes
P1-095,part1,特定飛行・飛行方法,中級,特定飛行に該当しない飛行であれば、他人に迷惑を及ぼすような方法で飛行させても航空法上問題はない。,false,飛行場所に関わらず、他人に迷惑を及ぼすような方法で飛行させないことは遵守事項である。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,nuisance_flight_003,新規作問。,yes
P1-096,part1,特定飛行・飛行方法,上級,捜索又は救助の特例は、事故や災害時に国や地方公共団体、またはその依頼を受けた者が行う飛行に限られる。,true,国土交通省は、捜索又は救助の特例の適用対象を国や地方公共団体等に限定して案内している。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,search_rescue_003,新規作問。,yes
P1-097,part1,特定飛行・飛行方法,中級,夜間、目視外、30m未満飛行のうち25kg未満機で条件を満たせば許可・承認不要となる場合があるが、危険物輸送や物件投下も同じ条件で一律に不要となる。,false,許可・承認不要となり得るのは一部のカテゴリーII飛行であり、危険物輸送や物件投下は同列には扱われない。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,category2b_waiver_002,新規作問。,yes
P1-098,part1,カテゴリー区分,上級,カテゴリーI飛行は航空法上の飛行許可・承認手続が不要であっても、他法令や施設管理者のルールの確認まで不要になるわけではない。,true,カテゴリーIは航空法上の飛行許可・承認手続が不要なだけであり、他法令や施設管理者のルールの確認は別途必要である。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,category1_scope_001,文面整理済み。航空法上の不要範囲を明確化。,yes
P1-099,part1,許可・承認・申請実務,中級,特定飛行に該当しない飛行では、飛行計画の通報は法律上必須である。,false,教則では、特定飛行に該当しない飛行については通報が望ましいとされており、必須とはされていない。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,flight_plan_notify_003,新規作問。,yes
P1-100,part1,技能証明・機体認証,上級,機体認証を受けた無人航空機を飛行させる者は、使用条件等指定書で示された最大離陸重量や飛行可能高度などの条件の範囲内で特定飛行しなければならない。,true,教則では、機体認証を受けた無人航空機は使用条件の範囲内で特定飛行しなければならないとしている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,aircraft_cert_conditions_001,新規作問。,yes
